A,B
30524270,19566273
30524270,19502060
30524270,19446294
30524270,19221191
30524270,19218229
30524270,19135478
30524270,19014631
30524270,18973258
30524270,18668626
30524270,18412621
30524270,18163154
30524270,17895436
30524270,17826461
30524270,17686633
30524270,17655480
30524270,17618701
30524270,17503027
30524270,17004944
30524270,16982195
30524270,16926210
30524270,16713924
30524270,16621565
30524270,16518128
30524270,16491406
30524270,16432700
30524270,16389084
30524270,16125264
30524270,16053531
30524270,16042812
30524270,16033650
30524270,15929090
30524270,15639397
30524270,15531176
30524270,15519333
30524270,15300651
30524270,15211023
30524270,14766505
30524270,14654205
30524270,12882986
30524270,12730255
30524270,12611998
30524270,12610686
30524270,12297254
30524270,12091559
30524270,11748737
30524270,11494184
30524270,11277298
30524270,10940402
30524270,10821982
30524270,9613733
30524270,9084350
30524270,9075002
30524270,9063277
30524270,8727526
30524270,8514809
30524270,8366265
30524270,8172506
30524270,7713836
30524270,2230833
30524354,29807534
30524354,28649603
30524354,28636593
30524354,27488222
30524354,26999434
30524354,26084020
30524354,25478795
30524354,24702516
30524354,24236103
30524354,23506036
30524354,23383169
30524354,22523201
30524354,22361232
30524354,22315722
30524354,21317042
30524354,21048992
30524354,19664708
30524354,18678243
30524354,18599350
30524354,18157654
30524354,18018486
30524354,17339843
30524354,17166628
30524354,16507759
30524354,15791003
30524354,10705937
30524354,10349502
30524354,9278044
30524354,9197268
30524579,26336525
30524579,20552060
30524579,19879594
30524579,19804548
30524579,19028709
30524579,18256123
30524579,17292982
30524579,15753115
30524579,15679994
30524579,15152059
30524706,30057745
30524706,29540464
30524706,29470458
30524706,29376473
30524706,29196188
30524706,29155813
30524706,29154141
30524706,29145629
30524706,29132871
30524706,29100067
30524706,29063562
30524706,29033893
30524706,28974639
30524706,28812536
30524706,28664100
30524706,28439461
30524706,28382000
30524706,28343168
30524706,28334866
30524706,28170441
30524706,28118852
30524706,28070747
30524706,28069311
30524706,27984541
30524706,27899610
30524706,27871848
30524706,27694961
30524706,27679561
30524706,27455348
30524706,27328812
30524706,26876718
30524706,26661513
30524706,26476454
30524706,26067594
30524706,25887539
30524706,25883770
30524706,25877637
30524706,25833344
30524706,25753093
30524706,25677125
30524706,25348409
30524706,25316019
30524706,25260700
30524706,25047909
30524706,24316577
30524706,24279194
30524706,24194598
30524706,23975817
30524706,23740936
30524706,23618408
30524706,23512712
30524706,23497106
30524706,23386971
30524706,23180794
30524706,23161678
30524706,22955990
30524706,22539670
30524706,22493728
30524706,22419278
30524706,22383036
30524706,22287627
30524706,22114774
30524706,21979788
30524706,21913094
30524706,21728978
30524706,21702733
30524706,21576262
30524706,21484822
30524706,21037262
30524706,20848190
30524706,20196867
30524706,19910308
30524706,19900953
30524706,19762894
30524706,19505943
30524706,19222867
30524706,19041780
30524706,18789909
30524706,18684739
30524706,18608099
30524706,18469827
30524706,17910947
30524706,17599430
30524706,17098774
30524706,16751280
30524706,16381825
30524706,15863030
30524706,15670639
30524706,14699966
30524706,12031278
30524706,11846609
30524706,10486171
30524706,10221902
30524706,10193591
30524706,9849796
30524706,9828084
30524706,9121555
30524706,7612265
30524706,3346711
30524706,2089137
30524706,1467557
30524706,56680
30344007,26235891
30344007,16904174
30344006,28057485
30344006,25904081
30344006,23039195
30344006,21508222
30344006,18035408
30344006,9197268
30057263,27721502
30057263,26220942
30057263,25556567
29511098,23063362
29151169,25064009
29151169,19846850
29151169,16964263
29151169,12498954
29151169,9278044
29151169,9197268
29112121,18035408
29112121,16904174
29089398,27346608
29089398,19136952
28892059,25064009
28892059,24316577
28892059,19846850
28882997,28170377
28882997,25904081
28882997,24315443
28882997,22764206
28882997,21700325
28882997,20547124
28789478,28009087
28789478,23371366
28789478,20942898
28789478,20512649
28789478,19136952
28789478,18520774
28789478,17653732
28780180,28592453
28780180,22920859
28725696,26237226
28725696,26235891
28725696,26005811
28725696,22764206
28725696,21430656
28725696,21362567
28725696,20071342
28725696,18035408
28725696,16904174
28725696,12498954
28725696,9197268
28625517,24507191
28625517,19136952
28416701,22764206
28416701,22314364
28416701,21863007
28416701,19269371
28416701,18035408
28416701,15451224
28416701,9600990
28416701,9197268
28256506,26220942
28256506,26143746
28256506,19041780
28157108,26499757
28157108,21069833
28157108,1564476
28009087,23371366
28009087,20512649
28009087,18520774
28009087,17653732
27739432,25775569
27739432,24672756
27739432,22328536
27739432,16556709
27721502,26220942
27721502,26143746
27721502,24931606
27721502,21245577
27721502,18035408
27499201,26628643
27476966,26005811
27476966,23618408
26373282,24998994
26373282,16899117
26235891,21245577
26235891,20071342
26220942,23618408
26220942,9600990
26143746,23472874
26143746,23063362
26143746,22764206
26143746,19269371
26046759,24315443
26046759,23472874
26046759,22764206
26046759,21508222
26046759,21362567
26046759,18035408
26046759,16904174
26005811,16904174
25775569,24672756
25621111,18035408
25621111,16904174
25556567,23063362
25556567,18035408
25064009,20711177
24998994,16899117
24998994,16237129
24672756,22328536
24672756,16556709
24507191,18669821
24315443,22764206
24315443,21508222
24315443,21362567
24239350,18035408
23371366,20512649
23371366,18520774
23063362,21362567
23063362,19269371
23063362,19098894
23063362,18669821
23063362,18035408
23039195,22314364
23039195,21863007
23039195,21508222
23039195,21362567
23039195,19269371
23039195,18691744
23039195,18035408
23039195,16543934
22764206,21508222
22764206,20089925
22407749,21362567
22407749,20547124
22407749,19297401
22407749,19269371
22407749,19098894
22407749,18691744
22407749,18669821
22407749,18035408
22407749,16904174
22314364,20547124
22314364,18035408
21993621,18035408
21863007,21362567
21863007,21303699
21863007,20547124
21863007,19269371
21863007,19098894
21863007,18691744
21863007,18669821
21863007,16904174
21863007,9278044
21863007,9197268
21700325,21508222
21700325,19846850
21508222,19269371
21508222,19098894
21508222,18691744
21508222,18669821
21508222,18035408
21362567,19269371
21362567,18691744
21362567,18035408
21362567,15451224
21362567,9600990
21362567,9197268
20942898,18520774
20942898,17653732
20581816,19269371
20581816,19098894
20581816,18691744
20581816,18669821
20581816,18391963
20581816,16904174
20547124,18391963
20547124,18391962
20547124,18391961
20547124,16964263
20547124,15834418
20547124,15333840
20512649,18520774
20512649,17653732
20512649,16237129
19269371,19098894
19269371,18691744
19269371,18669821
19269371,18035408
19269371,16904174
19269371,16713924
19098894,18691744
19098894,18669821
19098894,18035408
